Date,^AXJO
2016-09-15,5239.89990234375
2016-09-16,5296.7001953125
2016-09-19,5294.7998046875
2016-09-20,5303.60009765625
2016-09-21,5339.60009765625
2016-09-22,5374.5
2016-09-23,5431.2998046875
2016-09-26,5431.39990234375
2016-09-27,5405.89990234375
2016-09-28,5412.39990234375
2016-09-29,5471.2998046875
2016-09-30,5435.89990234375
2016-10-02,5478.5
2016-10-03,5484.0
2016-10-04,5452.89990234375
2016-10-05,5483.0
2016-10-06,5467.39990234375
2016-10-09,5475.39990234375
2016-10-10,5479.7998046875
2016-10-11,5474.60009765625
2016-10-12,5435.5
2016-10-13,5434.0
2016-10-16,5388.7001953125
2016-10-17,5410.7998046875
2016-10-18,5435.39990234375
2016-10-19,5442.10009765625
2016-10-20,5430.2998046875
2016-10-23,5408.5
2016-10-24,5442.7998046875
2016-10-25,5359.7998046875
2016-10-26,5295.5
2016-10-27,5283.7998046875
2016-10-30,5317.7001953125
2016-10-31,5290.5
2016-11-01,5229.0
2016-11-02,5225.60009765625
2016-11-03,5180.7998046875
2016-11-06,5250.7998046875
2016-11-07,5257.7998046875
2016-11-08,5156.60009765625
2016-11-09,5328.7998046875
2016-11-10,5370.7001953125
2016-11-13,5345.7001953125
2016-11-14,5326.2001953125
2016-11-15,5327.7001953125
2016-11-16,5338.5
2016-11-17,5359.39990234375
2016-11-20,5351.2998046875
2016-11-21,5413.2998046875
2016-11-22,5484.39990234375
2016-11-23,5485.10009765625
2016-11-24,5507.7998046875
2016-11-27,5464.39990234375
2016-11-28,5457.5
2016-11-29,5440.5
2016-11-30,5500.2001953125
2016-12-01,5444.0
2016-12-04,5400.39990234375
2016-12-05,5428.7001953125
2016-12-06,5478.10009765625
2016-12-07,5543.60009765625
2016-12-08,5560.60009765625
2016-12-11,5562.7998046875
2016-12-12,5545.0
2016-12-13,5584.60009765625
2016-12-14,5538.60009765625
2016-12-15,5532.89990234375
2016-12-18,5562.10009765625
2016-12-19,5591.10009765625
2016-12-20,5613.5
2016-12-21,5643.89990234375
2016-12-22,5627.89990234375
2016-12-27,5685.0
2016-12-28,5699.10009765625
2016-12-29,5665.7998046875
2017-01-02,5733.2001953125
2017-01-03,5736.39990234375
2017-01-04,5753.2998046875
2017-01-05,5755.60009765625
2017-01-08,5807.39990234375
2017-01-09,5760.7001953125
2017-01-10,5771.5
2017-01-11,5766.89990234375
2017-01-12,5721.10009765625
2017-01-15,5748.39990234375
2017-01-16,5699.39990234375
2017-01-17,5678.7998046875
2017-01-18,5692.2001953125
2017-01-19,5654.7998046875
2017-01-22,5611.0
2017-01-23,5650.10009765625
2017-01-24,5671.5
2017-01-26,5714.0
2017-01-29,5661.5
2017-01-30,5620.89990234375
2017-01-31,5653.2001953125
2017-02-01,5645.39990234375
2017-02-02,5621.60009765625
2017-02-05,5615.60009765625
2017-02-06,5621.89990234375
2017-02-07,5651.39990234375
