Date,^STOXX50E
2017-01-20,3299.43994140625
2017-01-23,3273.0400390625
2017-01-24,3281.530029296875
2017-01-25,3326.14990234375
2017-01-26,3319.1298828125
2017-01-27,3303.330078125
2017-01-30,3262.719970703125
2017-01-31,3230.679931640625
2017-02-01,3258.919921875
2017-02-02,3253.610107421875
2017-02-03,3273.110107421875
2017-02-06,3238.31005859375
2017-02-07,3235.7099609375
2017-02-08,3238.0400390625
2017-02-09,3277.7900390625
2017-02-10,3270.830078125
2017-02-13,3305.22998046875
2017-02-14,3308.889892578125
2017-02-15,3323.7099609375
2017-02-16,3311.0400390625
2017-02-17,3308.81005859375
2017-02-20,3312.389892578125
2017-02-21,3339.330078125
2017-02-22,3339.27001953125
2017-02-23,3333.9599609375
2017-02-24,3304.090087890625
2017-02-27,3309.300048828125
2017-02-28,3319.610107421875
2017-03-01,3390.199951171875
2017-03-02,3384.7099609375
2017-03-03,3403.389892578125
2017-03-06,3387.4599609375
2017-03-07,3385.1201171875
2017-03-08,3389.6201171875
2017-03-09,3409.889892578125
2017-03-10,3416.27001953125
2017-03-13,3415.489990234375
2017-03-14,3399.43994140625
2017-03-15,3409.320068359375
2017-03-16,3439.9599609375
2017-03-17,3448.409912109375
2017-03-20,3437.47998046875
2017-03-21,3429.6201171875
2017-03-22,3420.699951171875
2017-03-23,3452.179931640625
2017-03-24,3444.14990234375
2017-03-27,3437.139892578125
2017-03-28,3465.070068359375
2017-03-29,3475.27001953125
2017-03-30,3481.580078125
2017-03-31,3500.929931640625
2017-04-03,3472.93994140625
2017-04-04,3481.659912109375
2017-04-05,3472.580078125
2017-04-06,3489.570068359375
2017-04-07,3495.800048828125
2017-04-10,3480.43994140625
2017-04-11,3470.0400390625
2017-04-12,3468.510009765625
2017-04-13,3448.260009765625
2017-04-18,3409.780029296875
2017-04-19,3420.989990234375
2017-04-20,3440.030029296875
2017-04-21,3440.27001953125
2017-04-24,3577.3798828125
2017-04-25,3583.159912109375
2017-04-26,3578.7099609375
2017-04-27,3563.2900390625
2017-04-28,3559.590087890625
2017-05-02,3578.2099609375
2017-05-03,3586.25
2017-05-04,3627.8798828125
2017-05-05,3658.7900390625
2017-05-08,3642.110107421875
2017-05-09,3649.080078125
2017-05-10,3645.739990234375
2017-05-11,3623.550048828125
2017-05-12,3637.52001953125
2017-05-15,3641.8798828125
2017-05-16,3641.889892578125
2017-05-17,3584.830078125
2017-05-18,3562.219970703125
2017-05-19,3587.010009765625
2017-05-22,3576.530029296875
2017-05-23,3595.030029296875
2017-05-24,3586.6201171875
2017-05-26,3579.02001953125
2017-05-29,3578.949951171875
2017-05-30,3561.219970703125
2017-05-31,3554.590087890625
2017-06-01,3567.02001953125
2017-06-02,3591.820068359375
2017-06-06,3554.179931640625
2017-06-07,3548.840087890625
2017-06-08,3563.8798828125
2017-06-09,3586.070068359375
2017-06-12,3543.949951171875
2017-06-13,3557.8701171875
2017-06-14,3547.14990234375
2017-06-15,3525.4599609375
2017-06-16,3543.8798828125
2017-06-19,3579.580078125
2017-06-20,3560.659912109375
2017-06-21,3554.35009765625
2017-06-22,3555.760009765625
2017-06-23,3543.679931640625
2017-06-26,3561.760009765625
2017-06-27,3538.320068359375
2017-06-28,3535.699951171875
2017-06-29,3471.330078125
2017-06-30,3441.8798828125
2017-07-03,3491.81005859375
2017-07-04,3479.469970703125
2017-07-05,3478.409912109375
2017-07-06,3462.06005859375
2017-07-07,3463.840087890625
2017-07-10,3478.06005859375
2017-07-11,3464.47998046875
2017-07-12,3515.22998046875
2017-07-13,3527.830078125
2017-07-14,3525.93994140625
2017-07-17,3516.35009765625
2017-07-18,3478.679931640625
2017-07-19,3500.280029296875
2017-07-20,3499.489990234375
2017-07-21,3451.7099609375
2017-07-24,3453.169921875
2017-07-25,3473.5400390625
2017-07-26,3491.18994140625
2017-07-27,3493.139892578125
2017-07-28,3467.72998046875
2017-07-31,3449.360107421875
2017-08-02,3459.320068359375
2017-08-03,3466.3701171875
2017-08-04,3507.409912109375
2017-08-07,3505.800048828125
2017-08-08,3515.6298828125
2017-08-09,3468.449951171875
2017-08-10,3433.5400390625
2017-08-11,3406.340087890625
2017-08-14,3450.659912109375
2017-08-15,3461.909912109375
2017-08-16,3484.570068359375
2017-08-17,3461.969970703125
2017-08-18,3446.030029296875
2017-08-21,3423.530029296875
2017-08-22,3455.590087890625
2017-08-23,3438.6298828125
2017-08-24,3444.72998046875
2017-08-25,3438.550048828125
2017-08-28,3421.030029296875
2017-08-29,3388.219970703125
2017-08-30,3403.7099609375
2017-08-31,3421.469970703125
2017-09-01,3443.8798828125
2017-09-04,3430.419921875
2017-09-05,3420.860107421875
2017-09-06,3433.800048828125
2017-09-07,3447.659912109375
2017-09-08,3447.68994140625
2017-09-11,3495.18994140625
2017-09-12,3512.56005859375
2017-09-13,3523.139892578125
2017-09-14,3526.47998046875
2017-09-15,3515.550048828125
2017-09-18,3526.739990234375
2017-09-19,3531.179931640625
2017-09-20,3525.550048828125
2017-09-21,3539.590087890625
2017-09-22,3541.419921875
2017-09-25,3537.81005859375
2017-09-26,3536.3798828125
2017-09-27,3555.169921875
2017-09-28,3563.639892578125
2017-09-29,3594.85009765625
2017-10-02,3602.68994140625
2017-10-03,3605.72998046875
2017-10-04,3594.909912109375
2017-10-05,3613.5400390625
2017-10-06,3603.320068359375
2017-10-09,3610.5
2017-10-10,3598.7900390625
2017-10-11,3607.389892578125
2017-10-12,3605.5400390625
2017-10-13,3604.550048828125
2017-10-16,3606.27001953125
2017-10-17,3607.77001953125
2017-10-18,3619.64990234375
2017-10-19,3602.080078125
2017-10-20,3605.090087890625
2017-10-23,3608.8701171875
2017-10-24,3610.68994140625
2017-10-25,3591.4599609375
2017-10-26,3637.199951171875
2017-10-27,3652.22998046875
2017-10-30,3662.179931640625
2017-10-31,3673.949951171875
2017-11-01,3697.39990234375
2017-11-02,3688.800048828125
2017-11-03,3689.9599609375
2017-11-06,3682.360107421875
2017-11-07,3658.77001953125
2017-11-08,3655.0400390625
2017-11-09,3612.5
2017-11-10,3593.760009765625
2017-11-13,3574.52001953125
2017-11-14,3556.3798828125
2017-11-15,3545.719970703125
2017-11-16,3564.800048828125
2017-11-17,3547.4599609375
2017-11-20,3561.409912109375
2017-11-21,3579.320068359375
2017-11-22,3562.64990234375
2017-11-23,3572.070068359375
2017-11-24,3581.22998046875
2017-11-27,3564.02001953125
2017-11-28,3583.489990234375
2017-11-29,3589.909912109375
2017-11-30,3569.929931640625
2017-12-01,3527.550048828125
2017-12-04,3576.219970703125
2017-12-05,3570.570068359375
2017-12-06,3561.570068359375
2017-12-07,3573.1298828125
2017-12-08,3591.449951171875
2017-12-11,3582.2099609375
2017-12-12,3600.35009765625
2017-12-13,3581.75
2017-12-14,3556.219970703125
2017-12-15,3560.530029296875
2017-12-18,3609.419921875
2017-12-19,3582.219970703125
2017-12-20,3552.659912109375
2017-12-21,3570.780029296875
2017-12-22,3553.389892578125
2017-12-27,3550.169921875
2017-12-28,3524.31005859375
2017-12-29,3503.9599609375
2018-01-03,3509.8798828125
2018-01-04,3568.8798828125
2018-01-05,3607.6298828125
2018-01-08,3616.449951171875
2018-01-09,3622.8701171875
2018-01-10,3609.830078125
2018-01-11,3595.239990234375
2018-01-12,3612.610107421875
2018-01-15,3611.81005859375
2018-01-16,3622.010009765625
2018-01-17,3612.780029296875
2018-01-18,3620.909912109375
2018-01-19,3649.070068359375
2018-01-22,3665.280029296875
2018-01-23,3672.2900390625
2018-01-24,3643.219970703125
2018-01-25,3630.14990234375
2018-01-26,3647.409912109375
2018-01-29,3643.0400390625
2018-01-30,3606.75
2018-01-31,3609.2900390625
2018-02-01,3577.35009765625
2018-02-02,3523.280029296875
2018-02-05,3478.77001953125
2018-02-06,3394.919921875
2018-02-07,3454.52001953125
2018-02-08,3377.300048828125
2018-02-09,3325.989990234375
2018-02-12,3368.25
2018-02-13,3340.929931640625
2018-02-14,3369.830078125
2018-02-15,3389.6298828125
2018-02-16,3426.800048828125
2018-02-19,3407.7900390625
2018-02-20,3435.080078125
2018-02-21,3430.159912109375
2018-02-22,3431.989990234375
2018-02-23,3441.4599609375
2018-02-26,3463.179931640625
2018-02-27,3458.030029296875
2018-02-28,3438.9599609375
2018-03-01,3399.159912109375
2018-03-02,3324.75
2018-03-05,3355.320068359375
2018-03-06,3357.860107421875
2018-03-07,3377.360107421875
2018-03-08,3413.280029296875
2018-03-09,3420.5400390625
2018-03-12,3429.47998046875
2018-03-13,3397.35009765625
2018-03-14,3390.97998046875
2018-03-15,3414.1298828125
2018-03-16,3437.39990234375
2018-03-19,3394.7900390625
2018-03-20,3412.080078125
2018-03-21,3401.0400390625
2018-03-22,3348.18994140625
2018-03-23,3298.070068359375
2018-03-26,3278.719970703125
2018-03-27,3316.949951171875
2018-03-28,3331.25
2018-03-29,3361.5
2018-04-03,3346.929931640625
2018-04-04,3340.35009765625
2018-04-05,3429.949951171875
2018-04-06,3408.10009765625
2018-04-09,3414.85009765625
2018-04-10,3438.780029296875
2018-04-11,3419.7099609375
2018-04-12,3443.969970703125
2018-04-13,3448.0
2018-04-16,3441.0400390625
2018-04-17,3477.909912109375
2018-04-18,3490.889892578125
2018-04-19,3486.60009765625
2018-04-20,3494.199951171875
2018-04-23,3513.06005859375
2018-04-24,3510.8798828125
2018-04-25,3485.830078125
2018-04-26,3506.030029296875
2018-04-27,3518.780029296875
2018-04-30,3536.52001953125
2018-05-02,3553.7900390625
2018-05-03,3529.1201171875
2018-05-04,3550.590087890625
2018-05-07,3564.18994140625
2018-05-08,3557.8798828125
2018-05-09,3569.739990234375
2018-05-11,3565.52001953125
2018-05-14,3565.739990234375
2018-05-15,3564.2900390625
2018-05-16,3562.85009765625
2018-05-17,3592.179931640625
2018-05-18,3573.760009765625
2018-05-22,3587.25
2018-05-23,3541.820068359375
2018-05-24,3521.760009765625
2018-05-25,3515.360107421875
2018-05-28,3482.639892578125
2018-05-29,3428.139892578125
2018-05-30,3441.18994140625
2018-05-31,3406.64990234375
2018-06-01,3453.5400390625
2018-06-04,3469.570068359375
2018-06-05,3456.7900390625
2018-06-06,3460.820068359375
2018-06-07,3459.77001953125
2018-06-08,3447.300048828125
2018-06-11,3480.219970703125
2018-06-12,3475.580078125
2018-06-13,3479.56005859375
2018-06-14,3527.110107421875
2018-06-15,3505.02001953125
2018-06-18,3466.64990234375
2018-06-19,3435.300048828125
2018-06-20,3439.60009765625
2018-06-21,3403.510009765625
2018-06-22,3441.60009765625
2018-06-25,3369.2099609375
2018-06-26,3368.719970703125
2018-06-27,3397.1298828125
2018-06-28,3365.52001953125
2018-06-29,3395.60009765625
2018-07-02,3372.2099609375
2018-07-03,3406.340087890625
2018-07-04,3412.030029296875
2018-07-05,3440.919921875
2018-07-06,3448.489990234375
2018-07-09,3460.43994140625
