Date,^IXIC
2017-02-17,5838.580078125
2017-02-21,5865.9501953125
2017-02-22,5860.6298828125
2017-02-23,5835.509765625
2017-02-24,5845.31005859375
2017-02-27,5861.89990234375
2017-02-28,5825.43994140625
2017-03-01,5904.02978515625
2017-03-02,5861.22021484375
2017-03-03,5870.75
2017-03-06,5849.18017578125
2017-03-07,5833.93017578125
2017-03-08,5837.5498046875
2017-03-09,5838.81005859375
2017-03-10,5861.72998046875
2017-03-13,5875.77978515625
2017-03-14,5856.81982421875
2017-03-15,5900.0498046875
2017-03-16,5900.759765625
2017-03-17,5901.0
2017-03-20,5901.52978515625
2017-03-21,5793.830078125
2017-03-22,5821.64013671875
2017-03-23,5817.68994140625
2017-03-24,5828.740234375
2017-03-27,5840.3701171875
2017-03-28,5875.14013671875
2017-03-29,5897.5498046875
2017-03-30,5914.33984375
2017-03-31,5911.740234375
2017-04-03,5894.68017578125
2017-04-04,5898.60986328125
2017-04-05,5864.47998046875
2017-04-06,5878.9501953125
2017-04-07,5877.81005859375
2017-04-10,5880.93017578125
2017-04-11,5866.77001953125
2017-04-12,5836.16015625
2017-04-13,5805.14990234375
2017-04-17,5856.7900390625
2017-04-18,5849.47021484375
2017-04-19,5863.02978515625
2017-04-20,5916.77978515625
2017-04-21,5910.52001953125
2017-04-24,5983.81982421875
2017-04-25,6025.490234375
2017-04-26,6025.22998046875
2017-04-27,6048.93994140625
2017-04-28,6047.60986328125
2017-05-01,6091.60009765625
2017-05-02,6095.3701171875
2017-05-03,6072.5498046875
2017-05-04,6075.33984375
2017-05-05,6100.759765625
2017-05-08,6102.66015625
2017-05-09,6120.58984375
2017-05-10,6129.14013671875
2017-05-11,6115.9599609375
2017-05-12,6121.22998046875
2017-05-15,6149.669921875
2017-05-16,6169.8701171875
2017-05-17,6011.240234375
2017-05-18,6055.1298828125
2017-05-19,6083.7001953125
2017-05-22,6133.6201171875
2017-05-23,6138.7099609375
2017-05-24,6163.02001953125
2017-05-25,6205.259765625
2017-05-26,6210.18994140625
2017-05-30,6203.18994140625
2017-05-31,6198.52001953125
2017-06-01,6246.830078125
2017-06-02,6305.7998046875
2017-06-05,6295.68017578125
2017-06-06,6275.06005859375
2017-06-07,6297.3798828125
2017-06-08,6321.759765625
2017-06-09,6207.919921875
2017-06-12,6175.4599609375
2017-06-13,6220.3701171875
2017-06-14,6194.89013671875
2017-06-15,6165.5
2017-06-16,6151.759765625
2017-06-19,6239.009765625
2017-06-20,6188.02978515625
2017-06-21,6233.9501953125
2017-06-22,6236.68994140625
